ID_Transaccion,Sucursal_ID,Nombre_Sucursal,Tipo_Equipo,Precio_Unitario,Unidades_Vendidas,Metodo_Pago,Fecha_Factura,Descuento_Aplicado
4001,10, Sucursal Centro ,Switch Core,,2,efectivo,,0.0
4002,10,  SUCURSAL NORTE ,Switch Core,$500000.0,,Tarjeta Corporativa,Fecha_Corrupta,0.0
4003,10,SUCURSAL ESTE,servidor blade,$500000.0,4,tarjeta corporativa,2026-05-15,
4004,10,,Servidor Blade,$ 15000.99,10,Tarjeta Corporativa,,0.15
4005,30, Sucursal Centro ,servidor blade, 450.0 ,,Tarjeta Corporativa,,0.1
4006,40,sucursal centro,servidor blade,89.0,,Efectivo,,
4007,20,,servidor blade,89.0,3,tarjeta corporativa,2026-05-01,-0.2
4008,30, Sucursal Centro ,servidor blade,-200.0,2,,,0.0
4009,30,sucursal centro,Notebook Enterprise, 450.0 ,,Efectivo,,0.05
4010,30,sucursal centro,Notebook Enterprise, 450.0 ,5000,Tarjeta Corporativa,15-05-2026,0.1
4011,10,,notebook enterprise,89.0,,Transferencia Bancaria,Fecha_Corrupta,0.1
4012,40,  SUCURSAL NORTE ,servidor blade,"$1,200.50",1,transferencia bancaria,,0.15
4013,20,sucursal sur,Switch Core,89.0,10,Efectivo,,1.5
4014,40,Sucursal Oeste,Switch Core,$ 15000.99,10,Transferencia Bancaria,15-05-2026,0.0
4015,10,SUCURSAL NORTE,workstation pro,,-5,,Fecha_Corrupta,0.15
4016,30,sucursal centro,servidor blade,$500000.0,10,Transferencia Bancaria,,1.5
4017,20,sucursal sur,notebook enterprise,"$1,200.50",,Tarjeta Corporativa,01/05/2026,
4018,10,Sucursal Oeste,servidor blade,-200.0,5000,efectivo,15-05-2026,0.1
4019,10,SUCURSAL ESTE,Notebook Enterprise,-200.0,2,Tarjeta Corporativa,01/05/2026,0.15
4020,10,SUCURSAL ESTE,,$ 15000.99,-5,Tarjeta Corporativa,15-05-2026,0.0
4021,30,sucursal centro,workstation pro,$500000.0,,Transferencia Bancaria,2026-05-01,1.5
4022,30,SUCURSAL ESTE,workstation pro,"$1,200.50",1,efectivo,2026-05-01,0.0
4023,20,sucursal centro,Notebook Enterprise,,4,Tarjeta Corporativa,2026-05-15,
4024,30,sucursal sur,Notebook Enterprise,-200.0,2,Efectivo,Fecha_Corrupta,0.0
4025,10,,Servidor Blade,,-5,transferencia bancaria,2026-05-15,0.0
4026,20,,notebook enterprise,-200.0,5000,Tarjeta Corporativa,2026-05-01,1.5
4027,10,  SUCURSAL NORTE ,workstation pro,-200.0,4,efectivo,01/05/2026,1.5
4028,30,sucursal sur,workstation pro,-200.0,-5,efectivo,01/05/2026,0.1
4029,30,Sucursal Oeste,,,10,Transferencia Bancaria,,
4030,10, Sucursal Centro ,workstation pro,$500000.0,-5,Tarjeta Corporativa,2026-05-15,0.15
4031,20,SUCURSAL ESTE,workstation pro,89.0,3,tarjeta corporativa,2026-05-15,0.0
4032,20,  SUCURSAL NORTE ,workstation pro,$ 15000.99,-5,transferencia bancaria,2026-05-01,1.5
4033,30,  SUCURSAL NORTE ,notebook enterprise,-200.0,1,efectivo,2026-05-15,1.5
4034,40, Sucursal Centro ,,$500000.0,5000,transferencia bancaria,15-05-2026,
4035,10,SUCURSAL ESTE,Servidor Blade,89.0,-5,transferencia bancaria,15-05-2026,
4036,30,SUCURSAL NORTE,Servidor Blade,89.0,-5,transferencia bancaria,15-05-2026,0.1
4037,20,SUCURSAL ESTE,workstation pro,89.0,1,tarjeta corporativa,,
4038,30,sucursal sur,notebook enterprise,"$1,200.50",4,tarjeta corporativa,01/05/2026,-0.2
4039,40,,servidor blade,$ 15000.99,4,Efectivo,15-05-2026,1.5
4040,30,SUCURSAL ESTE,Workstation Pro,"$1,200.50",2,Tarjeta Corporativa,Fecha_Corrupta,1.5
4041,10,sucursal sur,Notebook Enterprise,89.0,4,Efectivo,2026-05-01,1.5
4042,40,sucursal sur,servidor blade,-200.0,4,Tarjeta Corporativa,15-05-2026,0.05
4043,20,SUCURSAL NORTE,Workstation Pro, 450.0 ,1,,01/05/2026,1.5
4044,40,SUCURSAL NORTE,workstation pro,$500000.0,1,Efectivo,Fecha_Corrupta,0.05
4045,20,SUCURSAL ESTE,notebook enterprise,"$1,200.50",3,efectivo,2026-05-01,0.1
4046,30, Sucursal Centro ,, 450.0 ,10,Transferencia Bancaria,01/05/2026,-0.2
4047,40,sucursal centro,Notebook Enterprise,$500000.0,1,efectivo,2026-05-01,0.0
4048,20,,Notebook Enterprise,$ 15000.99,,transferencia bancaria,Fecha_Corrupta,0.05
4049,30,Sucursal Oeste,servidor blade, 450.0 ,3,Efectivo,2026-05-01,-0.2
4050,40,sucursal sur,servidor blade,"$1,200.50",10,Efectivo,01/05/2026,0.15
4051,10, Sucursal Centro ,Switch Core,$500000.0,4,efectivo,2026-05-01,0.15
4052,20,sucursal sur,servidor blade, 450.0 ,10,efectivo,2026-05-15,0.1
4053,10,SUCURSAL ESTE,Switch Core,-200.0,5000,Transferencia Bancaria,Fecha_Corrupta,
4054,20,sucursal centro,Servidor Blade,$ 15000.99,10,,15-05-2026,0.0
4055,30,sucursal sur,servidor blade,$500000.0,5000,Efectivo,15-05-2026,0.0
4056,40,sucursal centro,notebook enterprise,$500000.0,5000,efectivo,2026-05-15,0.05
