ID_Transaccion,Sucursal_ID,Nombre_Sucursal,Tipo_Equipo,Precio_Unitario,Unidades_Vendidas,Metodo_Pago,Fecha_Factura,Descuento_Aplicado
4010,30,Sucursal centro,Notebook enterprise,450.0,5000.0,Tarjeta corporativa,15-05-2026,0.1
4014,40,Sucursal oeste,Switch core,$ 15000.99,10.0,Transferencia bancaria,15-05-2026,0.0
4018,10,Sucursal oeste,Servidor blade,-200.0,5000.0,Efectivo,15-05-2026,0.1
4019,10,Sucursal este,Notebook enterprise,-200.0,2.0,Tarjeta corporativa,01/05/2026,0.15
4022,30,Sucursal este,Workstation pro,"$1,200.50",1.0,Efectivo,2026-05-01,0.0
4024,30,Sucursal sur,Notebook enterprise,-200.0,2.0,Efectivo,Fecha_corrupta,0.0
4027,10,Sucursal norte,Workstation pro,-200.0,4.0,Efectivo,01/05/2026,1.5
4028,30,Sucursal sur,Workstation pro,-200.0,-5.0,Efectivo,01/05/2026,0.1
4030,10,Sucursal centro,Workstation pro,$500000.0,-5.0,Tarjeta corporativa,2026-05-15,0.15
4031,20,Sucursal este,Workstation pro,89.0,3.0,Tarjeta corporativa,2026-05-15,0.0
4032,20,Sucursal norte,Workstation pro,$ 15000.99,-5.0,Transferencia bancaria,2026-05-01,1.5
4033,30,Sucursal norte,Notebook enterprise,-200.0,1.0,Efectivo,2026-05-15,1.5
4036,30,Sucursal norte,Servidor blade,89.0,-5.0,Transferencia bancaria,15-05-2026,0.1
4038,30,Sucursal sur,Notebook enterprise,"$1,200.50",4.0,Tarjeta corporativa,01/05/2026,-0.2
4040,30,Sucursal este,Workstation pro,"$1,200.50",2.0,Tarjeta corporativa,Fecha_corrupta,1.5
4041,10,Sucursal sur,Notebook enterprise,89.0,4.0,Efectivo,2026-05-01,1.5
4042,40,Sucursal sur,Servidor blade,-200.0,4.0,Tarjeta corporativa,15-05-2026,0.05
4044,40,Sucursal norte,Workstation pro,$500000.0,1.0,Efectivo,Fecha_corrupta,0.05
4045,20,Sucursal este,Notebook enterprise,"$1,200.50",3.0,Efectivo,2026-05-01,0.1
4047,40,Sucursal centro,Notebook enterprise,$500000.0,1.0,Efectivo,2026-05-01,0.0
4049,30,Sucursal oeste,Servidor blade,450.0,3.0,Efectivo,2026-05-01,-0.2
4050,40,Sucursal sur,Servidor blade,"$1,200.50",10.0,Efectivo,01/05/2026,0.15
4051,10,Sucursal centro,Switch core,$500000.0,4.0,Efectivo,2026-05-01,0.15
4052,20,Sucursal sur,Servidor blade,450.0,10.0,Efectivo,2026-05-15,0.1
4055,30,Sucursal sur,Servidor blade,$500000.0,5000.0,Efectivo,15-05-2026,0.0
4056,40,Sucursal centro,Notebook enterprise,$500000.0,5000.0,Efectivo,2026-05-15,0.05
4057,40,Sucursal centro,Switch core,450.0,4.0,Tarjeta corporativa,15-05-2026,0.15
4061,40,Sucursal oeste,Switch core,"$1,200.50",3.0,Tarjeta corporativa,2026-05-15,0.0
4066,10,Sucursal oeste,Notebook enterprise,"$1,200.50",4.0,Efectivo,Fecha_corrupta,0.05
4067,30,Sucursal sur,Notebook enterprise,$ 15000.99,10.0,Transferencia bancaria,Fecha_corrupta,0.15
4069,20,Sucursal este,Servidor blade,-200.0,2.0,Tarjeta corporativa,2026-05-01,1.5
4070,40,Sucursal centro,Notebook enterprise,"$1,200.50",10.0,Efectivo,2026-05-01,-0.2
4071,30,Sucursal centro,Notebook enterprise,450.0,10.0,Transferencia bancaria,Fecha_corrupta,0.1
4072,20,Sucursal sur,Notebook enterprise,$500000.0,4.0,Transferencia bancaria,2026-05-15,0.15
4075,40,Sucursal norte,Switch core,"$1,200.50",5000.0,Transferencia bancaria,2026-05-01,0.1
4076,10,Sucursal sur,Notebook enterprise,$ 15000.99,5000.0,Efectivo,01/05/2026,0.15
4077,20,Sucursal norte,Notebook enterprise,$ 15000.99,-5.0,Efectivo,15-05-2026,1.5
4080,40,Sucursal centro,Workstation pro,-200.0,3.0,Transferencia bancaria,Fecha_corrupta,-0.2
4081,10,Sucursal norte,Workstation pro,"$1,200.50",1.0,Tarjeta corporativa,2026-05-01,1.5
4082,20,Sucursal norte,Notebook enterprise,-200.0,1.0,Transferencia bancaria,2026-05-15,-0.2
4084,20,Sucursal centro,Switch core,$ 15000.99,2.0,Transferencia bancaria,2026-05-15,1.5
4085,20,Sucursal este,Servidor blade,450.0,5000.0,Tarjeta corporativa,Fecha_corrupta,0.05
4089,10,Sucursal sur,Notebook enterprise,$ 15000.99,10.0,Transferencia bancaria,2026-05-01,0.1
4090,40,Sucursal norte,Notebook enterprise,89.0,5000.0,Tarjeta corporativa,Fecha_corrupta,-0.2
4092,30,Sucursal sur,Notebook enterprise,450.0,2.0,Transferencia bancaria,2026-05-01,0.05
4098,30,Sucursal sur,Notebook enterprise,"$1,200.50",3.0,Tarjeta corporativa,2026-05-15,0.15
4104,30,Sucursal centro,Servidor blade,450.0,5000.0,Transferencia bancaria,01/05/2026,0.1
4107,10,Sucursal norte,Workstation pro,89.0,4.0,Transferencia bancaria,15-05-2026,1.5
4109,20,Sucursal norte,Servidor blade,$500000.0,-5.0,Efectivo,01/05/2026,0.0
4111,40,Sucursal centro,Notebook enterprise,-200.0,1.0,Tarjeta corporativa,01/05/2026,0.15
4116,10,Sucursal centro,Notebook enterprise,$ 15000.99,-5.0,Tarjeta corporativa,2026-05-01,0.15
4120,10,Sucursal este,Notebook enterprise,$ 15000.99,10.0,Efectivo,Fecha_corrupta,0.15
4122,20,Sucursal este,Servidor blade,450.0,2.0,Transferencia bancaria,2026-05-15,0.15
4123,10,Sucursal norte,Servidor blade,89.0,2.0,Tarjeta corporativa,01/05/2026,1.5
4124,10,Sucursal norte,Servidor blade,"$1,200.50",4.0,Efectivo,01/05/2026,0.15
4126,20,Sucursal norte,Switch core,-200.0,4.0,Efectivo,01/05/2026,0.0
4143,40,Sucursal centro,Workstation pro,450.0,5000.0,Tarjeta corporativa,2026-05-01,-0.2
4144,30,Sucursal sur,Notebook enterprise,$ 15000.99,10.0,Tarjeta corporativa,15-05-2026,0.05
4145,20,Sucursal centro,Notebook enterprise,89.0,5000.0,Transferencia bancaria,15-05-2026,1.5
4148,20,Sucursal norte,Notebook enterprise,"$1,200.50",2.0,Tarjeta corporativa,15-05-2026,0.1
4149,10,Sucursal oeste,Servidor blade,450.0,-5.0,Tarjeta corporativa,15-05-2026,0.05
